DEPARTAMENTO DE MADRE DE DIOS,,,,,,,,,,,
,,,,,,,,,,,
CÓDIGO,CENTROS POBLADOS,"REGIÓN NATURAL (según piso
altitudinal)","ALTITUD
(m s.n.m.)",POBLACIÓN CENSADA,,,VIVIENDAS PARTICULARES,,,District Code,District Name
1,IBERIA,Omagua,268,4 705,2 508,2 197,1 857,1 454,403,170302,IBERIA
2,PACAHUARA,Omagua,277,816,443,373,301,256,45,170302,IBERIA
3,FLOR DE ACRE,Omagua,288,13,9,4,10,10,-,170302,IBERIA
4,CHILINA VIEJA,Omagua,294,10,9,1,18,17,1,170302,IBERIA
5,LA REPUBLICA,Omagua,278,7,5,2,7,7,-,170302,IBERIA
6,ARROZAL,Omagua,308,6,4,2,9,9,-,170302,IBERIA
7,SAN ANTONIO ABAD,Omagua,308,10,9,1,15,15,-,170302,IBERIA
8,BELLO HORIZONTE,Omagua,270,7,5,2,16,16,-,170302,IBERIA
10,SAN FRANCISCO DE ASIS,Omagua,284,-,-,-,10,10,-,170302,IBERIA
11,PORTILLO,Omagua,266,38,26,12,39,39,-,170302,IBERIA
12,MIRAFLORES,Omagua,262,-,-,-,7,7,-,170302,IBERIA
13,CARACHAMAYO,Omagua,305,-,-,-,3,3,-,170302,IBERIA
14,PONALILLO,Omagua,292,4,4,-,10,10,-,170302,IBERIA
15,NUEVA ALIANZA,Omagua,293,-,-,-,10,10,-,170302,IBERIA
16,TROPEZON,Omagua,313,8,6,2,32,32,-,170302,IBERIA
17,MARIA CRISTINA,Omagua,267,123,98,25,19,19,-,170302,IBERIA
19,PLAYA ALTA,Omagua,280,-,-,-,5,2,3,170302,IBERIA
20,NUEVA OCEANIA,Omagua,340,20,15,5,18,18,-,170302,IBERIA
21,AGUA DULCE,Omagua,296,13,13,-,3,3,-,170302,IBERIA
22,OCEANIA,Omagua,263,9,4,5,10,9,1,170302,IBERIA
23,PACAHUARA MANO IZQUIERDA,Omagua,271,2,1,1,9,9,-,170302,IBERIA
24,PACAHUARA MANO DERECHA,Omagua,278,-,-,-,2,2,-,170302,IBERIA
1,SAN LORENZO,Omagua,261,365,206,159,177,134,43,170303,TAHUAMANU
2,LA MERCED,Omagua,314,30,17,13,15,13,2,170303,TAHUAMANU
3,ABEJA,Omagua,296,30,20,10,15,10,5,170303,TAHUAMANU
4,ALERTA,Omagua,257,1 143,607,536,432,420,12,170303,TAHUAMANU
5,SAN PEDRO,Omagua,297,100,55,45,45,36,9,170303,TAHUAMANU
6,VILLA ROCIO,Omagua,286,63,38,25,25,25,-,170303,TAHUAMANU
7,LA NOVIA,Omagua,264,446,241,205,162,150,12,170303,TAHUAMANU
